origen,destino,tipo_dia,viajes
08019,41091,festivo,478.812
41063,41091,festivo,476.528
11012,29067,laborable,472.852
06074_AM,41091,laborable,462.926
41068,29067,laborable,461.166
18173,29067,laborable,456.809
FR104,41091,laborable,456.035
29069,41091,festivo,456.005
14024_AM,29067,laborable,452.034
06158,41091,festivo,450.244
06011,41091,festivo,447.868
21014,41091,laborable,447.384
14042,29067,laborable,444.079
11014,41091,festivo,443.821
PT11A,41091,festivo,442.806
41006,41091,festivo,441.494
29055,29067,festivo,440.793
14053,41091,laborable,436.249
41037,29067,laborable,434.968
11024_AM,41091,laborable,433.74
21029_AM,41091,laborable,431.193
41090,41091,laborable,430.395
21055,41091,festivo,427.775
06149,41091,laborable,425.087
18021,29067,festivo,424.674
11039,41091,festivo,422.898
41903,41091,festivo,419.412
29015_AM,41091,festivo,418.205
14037,29067,laborable,417.723
14013,29067,festivo,416.09
18094,29067,festivo,411.029
18022,29067,laborable,405.899
18134,29067,laborable,404.613
23005,41091,laborable,404.228
41072,41091,laborable,403.342
14055,29067,laborable,401.859
29051,41091,laborable,401.49
11011_AM,41091,festivo,400.702
11041,41091,festivo,398.396
29001,29067,festivo,395.203
41056,41091,festivo,394.014
23050,41091,festivo,391.812
50297,41091,laborable,391.327
18175,29067,laborable,389.049
30030,29067,laborable,388.202
04902,29067,festivo,387.125
11035,29067,festivo,386.78499999999997
29054,41091,laborable,384.446
06055_AM,41091,laborable,381.857
41901,41091,laborable,376.758
06044_AM,41091,laborable,376.375
18134,41091,laborable,375.17
18127,29067,laborable,374.653
29049_AM,29067,festivo,371.866
41082,29067,laborable,371.273
11029,41091,festivo,369.723
41039,29067,laborable,369.092
11020,29067,festivo,368.393
11026_AM,41091,laborable,365.616
41041_AM,29067,laborable,365.261
11035,41091,laborable,362.467
11035,41091,festivo,361.79
04079,29067,festivo,358.772
11037,41091,festivo,358.474
51001,29067,festivo,355.427
11024_AM,29067,laborable,349.919
29028_AM,29067,festivo,348.993
11031,29067,laborable,348.629
23055,41091,laborable,347.733
11015,29067,laborable,347.07099999999997
11010,41091,laborable,346.861
18013,29067,festivo,346.66
29901,41091,laborable,342.633
41078,41091,festivo,341.454
FRK26,29067,laborable,340.826
06055_AM,41091,festivo,340.126
14002,29067,laborable,339.724
21023_AM,41091,laborable,337.347
11034,29067,laborable,337.285
14056,41091,festivo,337.146
11022,41091,festivo,337.044
52001,29067,festivo,336.069
29059,29067,festivo,332.518
18100,29067,laborable,331.589
11023,41091,laborable,331.365
23055,29067,laborable,324.413
11034,29067,festivo,322.369
28065,41091,laborable,320.958
14030_AM,41091,laborable,316.303
14058,29067,festivo,316.282
14038,41091,festivo,315.767
41068,29067,festivo,314.919
41050,41091,laborable,313.216
41046_AM,41091,festivo,313.057
11038,41091,festivo,312.70799999999997
41076_AM,41091,laborable,312.211
41082,41091,laborable,311.115
06153,41091,laborable,311.015
21025,41091,laborable,310.38
10037,41091,festivo,310.293
14027,41091,laborable,308.187
29070,41091,laborable,306.502
18193,29067,laborable,305.591
11005_AM,41091,festivo,304.083
21064,41091,festivo,301.096
08169,41091,laborable,299.664
35016,41091,laborable,299.588
08019,29067,festivo,299.471
29025,41091,laborable,297.968
14005_AM,41091,laborable,297.571
21052_AM,41091,festivo,295.275
21053_AM,41091,festivo,294.919
18145,29067,laborable,293.806
14042,29067,festivo,290.866
06052_AM,41091,festivo,290.519
07040,41091,festivo,289.307
FRK28,29067,laborable,288.642
29020_AM,29067,laborable,288.129
14042,41091,laborable,284.897
23010,29067,laborable,284.62
04003,29067,laborable,281.904
14024_AM,29067,festivo,281.842
PT150,41091,festivo,279.805
23005,29067,laborable,278.703
18905,29067,laborable,273.716
FR105,41091,laborable,273.049
06149,41091,festivo,272.879
21032_AM,41091,festivo,272.825
29045,29067,festivo,272.544
29028_AM,29067,laborable,270.552
41062,29067,laborable,269.827
14055,29067,festivo,269.136
21046,41091,laborable,269.112
18013,29067,laborable,266.489
29088,29067,festivo,264.744
11008,29067,festivo,263.631
21011,41091,laborable,262.509
06070_AM,41091,laborable,262.289
FR101,41091,laborable,262.063
07040,29067,laborable,261.9
FR101,41091,festivo,261.185
41082,41091,festivo,258.764
29054,41091,festivo,258.737
21078,41091,laborable,258.65
21023_AM,41091,festivo,258.426
18094,41091,festivo,257.326
21049,41091,festivo,254.443
18173,29067,festivo,254.153
18100,29067,festivo,253.642
41074,41091,festivo,251.77700000000002
06074_AM,41091,festivo,251.587
04079,41091,laborable,251.407
41050,29067,laborable,249.963
14045_AM,29067,laborable,247.557
29055,41091,laborable,242.553
FR108,29067,laborable,242.478
FR106,29067,festivo,242.232
18059,29067,laborable,240.907
21035,41091,festivo,240.105
29094,41091,laborable,239.988
41037,41091,laborable,239.522
FR108,41091,laborable,239.386
21018_AM,41091,laborable,238.802
externo,41091,laborable,238.493
11024_AM,29067,festivo,238.00900000000001
14010,29067,festivo,237.129
41041_AM,29067,festivo,235.932
41904,41091,festivo,235.376
41072,41091,festivo,235.136
23092,29067,laborable,234.199
18062,29067,laborable,231.844
46250,29067,laborable,231.283
11011_AM,41091,laborable,230.676
23010,41091,laborable,230.237
06014,41091,laborable,229.514
21029_AM,41091,festivo,228.773
23039,29067,laborable,228.257
FR102,41091,festivo,227.833
30030,41091,laborable,227.472
29082_AM,41091,laborable,227.4
14017,41091,festivo,227.249
11001,41091,laborable,227.013
11031,29067,festivo,226.702
14007_AM,29067,laborable,226.176
01059,41091,laborable,225.5
11034,41091,festivo,223.338
50297,29067,laborable,221.231
41026,41091,laborable,220.773
18158,29067,laborable,220.382
41052,41091,festivo,220.095
41084,41091,laborable,219.873
06122,41091,laborable,218.987
18175,29067,festivo,217.449
11012,29067,festivo,217.044
14013,41091,laborable,216.216
29901,41091,festivo,215.582
48020,41091,laborable,214.824
23092,41091,laborable,214.797
11026_AM,41091,festivo,214.129
21014,41091,festivo,213.869
11027,29067,laborable,212.434
FRJ23,41091,laborable,209.47899999999998
04902,41091,laborable,208.733
38038,41091,laborable,208.195
29041,29067,festivo,208.05
14030_AM,41091,festivo,207.355
PT150,41091,laborable,206.903
14027,29067,laborable,205.39600000000002
21056,41091,festivo,202.969
13034,41091,laborable,202.625
11006,29067,laborable,202.409
18192_AM,29067,laborable,202.107
41076_AM,41091,festivo,202.047
41059,29067,laborable,201.607
41038,29067,festivo,200.45
11024_AM,41091,festivo,200.44
21017_AM,41091,laborable,200.335
18014_AM,29067,laborable,199.742
03014,41091,laborable,197.737
41081,29067,laborable,196.564
FRI12,41091,festivo,195.114
41004,29067,festivo,194.905
41072,29067,laborable,194.45499999999998
29028_AM,41091,festivo,194.442
11033,41091,festivo,194.352
06019_AM,41091,laborable,194.164
FRB06,29067,festivo,194.11
29051,41091,festivo,194.076
23060,29067,laborable,193.347
FRC14,29067,laborable,193.099
41082,29067,festivo,193.042
04102,29067,laborable,191.891
FRK27,29067,festivo,191.757
21076_AM,41091,laborable,191.34
FRF12,29067,laborable,190.887
14043_AM,41091,laborable,190.824
FRI12,29067,laborable,190.611
14036,41091,festivo,189.22
14013,41091,festivo,188.441
14054,41091,laborable,187.329
11005_AM,29067,laborable,186.841
18122_AM,41091,laborable,185.55
41014,29067,laborable,185.505
41050,41091,festivo,184.388
10148,41091,laborable,184.17000000000002
04052,29067,laborable,183.164
18149_AM,29067,laborable,182.064
23009,41091,laborable,182.02700000000002
08169,29067,laborable,181.845
FR105,41091,festivo,181.811
41090,41091,festivo,180.794
29056_AM,29067,laborable,180.483
18140,41091,laborable,179.789
18102_AM,29067,laborable,177.539
14054,29067,laborable,176.98
14007_AM,29067,festivo,176.68
11001,41091,festivo,175.386
23086_AM,29067,laborable,175.083
14002,29067,festivo,174.726
11902_AM,41091,laborable,174.627
18003,29067,festivo,174.146
14026_AM,41091,laborable,173.883
23002,29067,laborable,173.504
51001,41091,laborable,173.274
14042,41091,festivo,173.13400000000001
11032,29067,laborable,172.906
41026,29067,laborable,172.52
06067_AM,41091,laborable,172.174
FR106,41091,laborable,171.83
18021,41091,laborable,170.39600000000002
28065,29067,laborable,169.353
